years of guilt and sorrow tumble over each other as vince struggles to retain his sanity and understand who it is he is hoping to find alive . 	0
unfortunately this film will not satisfy if you are looking to discover the missing link , but if you are simply interested in humor and some 'interesting' footage , to say the least , you will not be disappointed . 	1
charlie decides it's time to take action to recover his lost love : he secretly befriends her new boyfriend and attempts to sabotage their relationship by introducing temptation , mistrust - and jennifer . . . 	0
very well written and directed with brutal honesty and respect for its audience . 	1
however , price discovers a life lesson he never thought possible in the mistaken identity comedy from raw dawg films . 	0
4 friends , 2 couples , 2000 miles , and all the pabst blue ribbon beer they can drink - it's the ultimate redneck road-trip . 	1
an eager young englishman is dispatched to sarawak to become part of the british colonial government , encounters some unorthodox local traditions , and finds himself faced with tough decisions of the heart involving the beautiful young selima , the unwitting object of his affections . 	0
by the time it ends in a rush of sequins , flashbulbs , blaring brass and back-stabbing babes , it has said plenty about how show business has infiltrated every corner of society -- and not always for the better . 	1
but what exactly is good and waht exactly is evil ? 	0
the film is a contrivance , as artificial as the video games japanese teens play in a nightclub sequence , but it's an enjoyable one . 	1
bound by a long red cord , a young couple wanders in search of something they have forgotten . 	0
a deftly entertaining film , smartly played and smartly directed . 	1
she has been programmed to eliminate other cybernetic organisms . 	0
the determination of pinochet's victims to seek justice , and their often heartbreaking testimony , spoken directly into director patricio guzman's camera , pack a powerful emotional wallop . 	1
one whom he could never love and one whom he could never stop loving . . . 	0
the main characters are simply named the husband , the wife and the kidnapper , emphasizing the disappointingly generic nature of the entire effort . 	1
trapped in a lovers triangle and ruthless game of lust , greed , and betrayal we follow one woman's hypnotic journey to discover her true self . . . 	0
a distant , even sterile , yet compulsively watchable look at the sordid life of hogan's heroes star bob crane . 	1
for one week , eduardo coutinho and his team talked to 27 residents in an enormous building in copacabana . 	0
'[the cockettes] provides a window into a subculture hell-bent on expressing itself in every way imaginable . '	1
she'll just have to remember everything for the both of them . 	0
broomfield reveals an ironic manifestation of institutionalized slavery that ties a black-owned record label with a white-empowered police force . 	1
it is in this great maritime empire , where opulence rhymes with tolerance , that isabel organizes secret passages for refugees fleeing the inquisition while clara falls in love with a venetian noble , paolo zane . 	0
the script is a disaster , with cloying messages and irksome characters . 	1
he has been with his girlfriend for 9 months too long . 	0
culkin turns his character into what is basically an anti-harry potter -- right down to the gryffindor scarf . 	1
now their quickly expanding population threatens the existence of vampires , and soon there won't be enough humans in the world to satisfy their bloodlust . 	0
overall tomfoolery like this is a matter of taste . 	1
mitchell takes the gun to t-mon , a pimp who lives in a modern age opium den : pillows , candles , opium , and ho's . 	0
[jaglom] creates an engaging insider's world of enthusiastically entertaining characters and absorbing situations . 	1
as time races on 'superbob' must rescue his son dante , who has been kidnapped by big yard . 	0
the actors improvise and scream their way around this movie directionless , lacking any of the rollicking dark humor so necessary to make this kind of idea work on screen . 	1
a rebellious misfit , she is sent to summer camp by her frustrated parents . 	0
the film just might turn on many people to opera , in general , an art form at once visceral and spiritual , wonderfully vulgar and sublimely lofty -- and as emotionally grand as life . 	1
kilabot is now off to save sienna and to avenge kamandag's death . 	0
the story itself it mostly told through on-camera interviews with several survivors , whose riveting memories are rendered with such clarity that it's as if it all happened only yesterday . 	1
but god knows of this evil and sends a protector , an unlikely angel to watch over her . 	0
it never quite makes it to the boiling point , but manages to sustain a good simmer for most of its running time . 	1
a faction of political separatists , led by count dooku , attempts to assassinate her . 	0
evelyn may be a weightless picture , but it's hardly torture to sit through . 	1
then , he must take the money from the e sale to the industrial district where a drunken old gun runner makes him hide in the closet when he gets a visitor then he takes the gun to a modern day opium den where t-mon , a spaced out pimp , cannot get a card trick right . 	0
 . . . turns so unforgivably trite in its last 10 minutes that anyone without a fortified sweet tooth will likely go into sugar shock . 	1
his biggest customers are the yorkin family , and they seem to have everything in the world . 	0
sheridan is painfully bad , a fourth-rate jim carrey who doesn't understand the difference between dumb fun and just plain dumb . 	1
he has already written the script but does not have the means of financing his project . 	0
you'll laugh at either the obviousness of it all or its stupidity or maybe even its inventiveness , but the point is , you'll laugh . 	1
kimberly corman and her friends decide to head out on a trip . 	0
fine acting but there is no sense of connecting the dots , just dots . 	1
he discovers that his daughter's life , unknown to him from an affair with a brazilian woman 15 years earlier , is in danger and must return to rio ; having only five days to finish the deal and find his daughter . 	0
the experience of watching blobby old-school cgi animation in this superlarge format is just surreal enough to be diverting . 	1
